TARIH_DATE,GUN_TIPI,MEVSIM,CALISMA_DURUMU,AY_ADI,GUN_BILGISI,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,KAZA_SAYISI
2022-02-18,Hafta İçi,Kış,İş Günü,February,Friday,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12.0,9.0,9.0,6.0,7.0,9.0,10.0,10.0,11.0,17.0,3.0,5.0,22.0,12
2022-02-19,Hafta Sonu,Kış,Tatil Günü,February,Saturday,12.0,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12.0,9.0,9.0,6.0,7.0,9.0,10.0,10.0,11.0,17.0,3.0,5.0,9
2022-02-20,Hafta Sonu,Kış,Tatil Günü,February,Sunday,9.0,12.0,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12.0,9.0,9.0,6.0,7.0,9.0,10.0,10.0,11.0,17.0,3.0,2
2022-02-21,Hafta İçi,Kış,İş Günü,February,Monday,2.0,9.0,12.0,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12.0,9.0,9.0,6.0,7.0,9.0,10.0,10.0,11.0,17.0,12
2022-02-22,Hafta İçi,Kış,İş Günü,February,Tuesday,12.0,2.0,9.0,12.0,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12.0,9.0,9.0,6.0,7.0,9.0,10.0,10.0,11.0,18
2022-02-23,Hafta İçi,Kış,İş Günü,February,Wednesday,18.0,12.0,2.0,9.0,12.0,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12.0,9.0,9.0,6.0,7.0,9.0,10.0,10.0,8
2022-02-24,Hafta İçi,Kış,İş Günü,February,Thursday,8.0,18.0,12.0,2.0,9.0,12.0,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12.0,9.0,9.0,6.0,7.0,9.0,10.0,9
2022-02-25,Hafta İçi,Kış,İş Günü,February,Friday,9.0,8.0,18.0,12.0,2.0,9.0,12.0,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12.0,9.0,9.0,6.0,7.0,9.0,8
2022-02-26,Hafta Sonu,Kış,Tatil Günü,February,Saturday,8.0,9.0,8.0,18.0,12.0,2.0,9.0,12.0,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12.0,9.0,9.0,6.0,7.0,8
2022-02-27,Hafta Sonu,Kış,Tatil Günü,February,Sunday,8.0,8.0,9.0,8.0,18.0,12.0,2.0,9.0,12.0,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12.0,9.0,9.0,6.0,5
2022-02-28,Hafta İçi,Kış,İş Günü,February,Monday,5.0,8.0,8.0,9.0,8.0,18.0,12.0,2.0,9.0,12.0,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12.0,9.0,9.0,16
2022-03-01,Hafta İçi,İlkbahar,İş Günü,March,Tuesday,16.0,5.0,8.0,8.0,9.0,8.0,18.0,12.0,2.0,9.0,12.0,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12.0,9.0,10
2022-03-02,Hafta İçi,İlkbahar,İş Günü,March,Wednesday,10.0,16.0,5.0,8.0,8.0,9.0,8.0,18.0,12.0,2.0,9.0,12.0,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12.0,13
2022-03-03,Hafta İçi,İlkbahar,İş Günü,March,Thursday,13.0,10.0,16.0,5.0,8.0,8.0,9.0,8.0,18.0,12.0,2.0,9.0,12.0,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9.0,12
2022-03-04,Hafta İçi,İlkbahar,İş Günü,March,Friday,12.0,13.0,10.0,16.0,5.0,8.0,8.0,9.0,8.0,18.0,12.0,2.0,9.0,12.0,14.0,7.0,12.0,14.0,2.0,7.0,20.0,9
2022-03-05,Hafta Sonu,İlkbahar,Tatil Günü,March,Saturday,9.0,12.0,13.0,10.0,16.0,5.0,8.0,8.0,9.0,8.0,18.0,12.0,2.0,9.0,12.0,14.0,7.0,12.0,14.0,2.0,7.0,3
2022-03-06,Hafta Sonu,İlkbahar,Tatil Günü,March,Sunday,3.0,9.0,12.0,13.0,10.0,16.0,5.0,8.0,8.0,9.0,8.0,18.0,12.0,2.0,9.0,12.0,14.0,7.0,12.0,14.0,2.0,4
2022-03-07,Hafta İçi,İlkbahar,İş Günü,March,Monday,4.0,3.0,9.0,12.0,13.0,10.0,16.0,5.0,8.0,8.0,9.0,8.0,18.0,12.0,2.0,9.0,12.0,14.0,7.0,12.0,14.0,10
