Street,Frequency,Model_Type,Params,MAE,Improvement_Pct
ALTINYOL CADDESI,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",2.0276634911636218,22.67733542824323
YEŞILLIK CADDESI,Weekly,Baseline,Mean,2.1702127659574466,0.0
YEŞILLIK CADDESI,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",1.4900975711085904,31.33864133127083
YEŞILLIK CADDESI,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",4.1904740073268245,-93.09046896505959
YEŞILLIK CADDESI,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",1.5055123485241697,30.628352568003937
YEŞILLIK CADDESI,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",1.5223201884473034,29.853873669585028
YEŞILLIK CADDESI,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",2.269369561277511,-4.568989588277471
YEŞILLIK CADDESI,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",1.509570178247727,30.441374139565507
YEŞILDERE CADDESI,Monthly,Baseline,Mean,24.96666666666667,0.0
YEŞILDERE CADDESI,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",20.986737901390963,15.940969687352624
YEŞILDERE CADDESI,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",37.82048271507867,-51.483909406189575
YEŞILDERE CADDESI,Monthly,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",10.274592490572866,58.84675904977491
YEŞILDERE CADDESI,Monthly,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",15.179641588190037,39.200367470533905
YEŞILDERE CADDESI,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",12.178268465987864,51.22188865425422
YEŞILDERE CADDESI,Monthly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",10.87360894158626,56.44749422595624
ANADOLU CADDESI,Monthly,Baseline,Mean,6.016666666666666,0.0
ANADOLU CADDESI,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",6.770594470357145,-12.53065601701628
ANADOLU CADDESI,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",38.15554532798894,-534.1641882768246
ANADOLU CADDESI,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",5.67196828644028,5.729058951131064
ANADOLU CADDESI,Monthly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",4.657886664803553,22.583601138999107
ANADOLU CADDESI,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",11.239962773830579,-86.81378571463569
ANADOLU CADDESI,Monthly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",6.169724494131743,-2.543897409391868
MÜRSELPAŞA BULVARI,Monthly,Baseline,Mean,11.758333333333331,0.0
MÜRSELPAŞA BULVARI,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",8.625083166671633,26.647060240921604
MÜRSELPAŞA BULVARI,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",38.3566182734247,-226.2079512977296
MÜRSELPAŞA BULVARI,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",5.176932830496363,55.97222256133496
MÜRSELPAŞA BULVARI,Monthly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",6.866817342626113,41.60041948156387
MÜRSELPAŞA BULVARI,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",7.954411642596334,32.350857752547114
MÜRSELPAŞA BULVARI,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': None}",6.559764027392622,44.21178715186997
AKÇAY CADDESI,Monthly,Baseline,Mean,7.88333333333333,0.0
AKÇAY CADDESI,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",6.252403219570813,20.688331252801493
AKÇAY CADDESI,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",30.66058563445503,-288.92920466539164
AKÇAY CADDESI,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",6.398721460951195,18.832285907595807
AKÇAY CADDESI,Monthly,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",9.847913115356407,-24.920673767734602
AKÇAY CADDESI,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",15.284079503479964,-93.87838693632096
AKÇAY CADDESI,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 12}",12.22711379849178,-55.1008092831939
MUSTAFA KEMAL SAHIL BULVARI,Monthly,Baseline,Mean,10.633333333333335,0.0
MUSTAFA KEMAL SAHIL BULVARI,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",7.818896770414349,26.468055450648762
MUSTAFA KEMAL SAHIL BULVARI,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",26.115843264296302,-145.60354167049812
MUSTAFA KEMAL SAHIL BULVARI,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",5.7621359717671075,45.810633494353226
MUSTAFA KEMAL SAHIL BULVARI,Monthly,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",6.633089536692023,37.6198476173164
MUSTAFA KEMAL SAHIL BULVARI,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",17.730214983920423,-66.74183370458076
MUSTAFA KEMAL SAHIL BULVARI,Monthly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",6.405597791965133,39.75926841412101
ANKARA CADDESI,Monthly,Baseline,Mean,13.341666666666663,0.0
ANKARA CADDESI,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",4.036170158757165,69.747631539609
ANKARA CADDESI,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",16.311977004417088,-22.26341290006565
ANKARA CADDESI,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",3.8150725062983564,71.4048281851466
ANKARA CADDESI,Monthly,ARIMA,"Order=(2, 1, 2), Seas=(0, 0, 0, 0)",4.399518077673973,67.0242242772719
ANKARA CADDESI,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",13.273748976469397,0.5090645111600202
ANKARA CADDESI,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 12}",6.912430306295434,48.18915448123346
ALTINYOL CADDESI,Monthly,Baseline,Mean,9.975000000000001,0.0
ALTINYOL CADDESI,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",1.5546312897116372,84.4147239126653
ALTINYOL CADDESI,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",20.083298607624222,-101.3363268934759
ALTINYOL CADDESI,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",1.5297739863822166,84.66391993601788
ALTINYOL CADDESI,Monthly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",1.3718529886657855,86.24708783292445
ALTINYOL CADDESI,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",8.394098139438961,15.848640206125713
ALTINYOL CADDESI,Monthly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",2.6763455659446898,73.16946801057955
YEŞILLIK CADDESI,Monthly,Baseline,Mean,8.350000000000001,0.0
YEŞILLIK CADDESI,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",2.055208877983299,75.38672002415211
YEŞILLIK CADDESI,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",16.984810929629273,-103.4109093368775
YEŞILLIK CADDESI,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",2.092478314894635,74.9403794623397
YEŞILLIK CADDESI,Monthly,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",1.9879056078668558,76.19274721117539
YEŞILLIK CADDESI,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",5.533535663493544,33.730111814448584
YEŞILLIK CADDESI,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': None}",8.349998781749262,1.4589829214356173e-05
