Street,Frequency,Model,MAE,Improvement_Pct
AKÇAY CADDESI,Monthly,SVR,7.5754385802525706,3.905641688128031
MUSTAFA KEMAL SAHIL BULVARI,Monthly,DummyRegressor,10.633333333333335,0.0
MUSTAFA KEMAL SAHIL BULVARI,Monthly,LinearRegression,6.578782219530258,38.13057473795996
MUSTAFA KEMAL SAHIL BULVARI,Monthly,Ridge,6.583584464279343,38.085412561636275
MUSTAFA KEMAL SAHIL BULVARI,Monthly,Lasso,6.586111507489316,38.06164726499077
MUSTAFA KEMAL SAHIL BULVARI,Monthly,RandomForest,5.614999999999999,47.19435736677117
MUSTAFA KEMAL SAHIL BULVARI,Monthly,GradientBoosting,6.705371231334773,36.940082463936314
MUSTAFA KEMAL SAHIL BULVARI,Monthly,KNN,6.8,36.050156739811925
MUSTAFA KEMAL SAHIL BULVARI,Monthly,SVR,7.026502968443939,33.920034779524094
ANKARA CADDESI,Monthly,DummyRegressor,13.341666666666663,0.0
ANKARA CADDESI,Monthly,LinearRegression,5.331872378132213,60.03593470481788
ANKARA CADDESI,Monthly,Ridge,5.119608686103693,61.62691803045325
ANKARA CADDESI,Monthly,Lasso,5.11620146665782,61.652456214932
ANKARA CADDESI,Monthly,RandomForest,4.203333333333333,68.4946908182386
ANKARA CADDESI,Monthly,GradientBoosting,7.336363980324929,45.011637873891836
ANKARA CADDESI,Monthly,KNN,3.7999999999999994,71.51780137414117
ANKARA CADDESI,Monthly,SVR,11.10947556784808,16.730976380901318
ALTINYOL CADDESI,Monthly,DummyRegressor,9.975000000000001,0.0
ALTINYOL CADDESI,Monthly,LinearRegression,2.5891631334544853,74.04347735885227
ALTINYOL CADDESI,Monthly,Ridge,2.616768320884322,73.76673362521983
ALTINYOL CADDESI,Monthly,Lasso,2.6818908616271977,73.1138760739128
ALTINYOL CADDESI,Monthly,RandomForest,1.4216666666666669,85.74770258980784
ALTINYOL CADDESI,Monthly,GradientBoosting,2.0868223573046993,79.07947511473986
ALTINYOL CADDESI,Monthly,KNN,0.8999999999999998,90.97744360902256
ALTINYOL CADDESI,Monthly,SVR,6.153887288787973,38.30689434799025
YEŞILLIK CADDESI,Monthly,DummyRegressor,8.350000000000001,0.0
YEŞILLIK CADDESI,Monthly,LinearRegression,4.575652803015008,45.20176283814363
YEŞILLIK CADDESI,Monthly,Ridge,4.573742420322494,45.22464167278451
YEŞILLIK CADDESI,Monthly,Lasso,4.584050903606193,45.10118678315938
YEŞILLIK CADDESI,Monthly,RandomForest,1.72,79.40119760479043
YEŞILLIK CADDESI,Monthly,GradientBoosting,2.6617500778191867,68.12275355905165
YEŞILLIK CADDESI,Monthly,KNN,2.0,76.04790419161677
YEŞILLIK CADDESI,Monthly,SVR,4.379791758503714,47.54740408977589
