District,Frequency,Model_Type,Params,MAE,MAPE,Improvement_Pct
KARŞIYAKA,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",1.3405990782413983,81.5222861694048,46.921875736879706
BORNOVA,Weekly,Baseline,Mean,3.2677304964539005,138.48157678609806,0.0
BORNOVA,Weekly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",3.3948413434156834,53.52730582695546,-3.889881589063788
BORNOVA,Weekly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",5.416666666666667,100.0,-65.76234400434076
BORNOVA,Weekly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",2.6687386024996176,65.02893668581225,18.330516993500574
BORNOVA,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",2.6150991081758135,67.3510402893576,19.972007758482967
BORNOVA,Weekly,SARIMA,"Order=(1, 1, 1), Seas=(1, 0, 0, 52)",2.6845077657285423,65.77325771395623,17.847944662458058
BORNOVA,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",2.5936670355722007,67.53997550371196,20.627878021556086
BALÇOVA,Weekly,Baseline,Mean,0.47560975609756095,57.31707317073172,0.0
BALÇOVA,Weekly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",0.3333333333333333,100.0,29.914529914529915
BALÇOVA,Weekly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",0.3333333333333333,100.0,29.914529914529915
BALÇOVA,Weekly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.3350830371491982,99.48247253512965,29.546643471194223
BALÇOVA,Weekly,ARIMA,"Order=(1, 1, 1), Seas=(0, 0, 0, 0)",0.333904449115031,99.81092691387872,29.79444916042938
BALÇOVA,Weekly,SARIMA,"Order=(1, 0, 1), Seas=(1, 0, 0, 52)",0.3746566425576021,89.59045474417269,21.226039257119552
BALÇOVA,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",0.3329111838497149,99.77746958662676,30.00328954954712
NARLIDERE,Weekly,Baseline,Mean,0.26666666666666666,85.0,0.0
NARLIDERE,Weekly,AR,"Order=(1, 0, 0), Seas=(0, 0, 0, 0)",0.16666666666666666,100.0,37.5
NARLIDERE,Weekly,MA,"Order=(0, 0, 1), Seas=(0, 0, 0, 0)",0.16666666666666666,100.0,37.5
NARLIDERE,Weekly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.16666722702532036,99.99996934175628,37.499789865504866
NARLIDERE,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",0.25949367150993413,86.07594927350988,2.689873183774699
NARLIDERE,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",0.25949367150993413,86.07594927350988,2.689873183774699
NARLIDERE,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",0.26666666263732397,85.00000060440141,1.511003509813147e-06
KONAK,Weekly,Baseline,Mean,11.251773049645388,28.89082242262797,0.0
KONAK,Weekly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",4.211693742423929,10.457793883151236,62.56862163997642
KONAK,Weekly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",35.73239124565829,86.5079123045264,-217.57120489365397
KONAK,Weekly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",4.229568591001065,10.057584232721032,62.409759134500455
KONAK,Weekly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",3.5630045558290178,8.684642894992392,68.33383911932609
KONAK,Weekly,SARIMA,"Order=(1, 1, 1), Seas=(1, 0, 0, 52)",3.92470855459873,9.54669013687055,65.11919910504751
KONAK,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",3.5673361397540133,8.68981334951819,68.29534221838539
BUCA,Weekly,Baseline,Mean,0.6945945945945945,19.45945945945946,0.0
BUCA,Weekly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",0.5084830232292643,55.56820736734127,26.79427292030046
BUCA,Weekly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",0.4981537277864052,88.88357936929685,28.281369929583676
BUCA,Weekly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.49732733191614154,58.32703455460839,28.400345210516576
BUCA,Weekly,ARIMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",0.49732733191614154,58.32703455460839,28.400345210516576
BUCA,Weekly,SARIMA,"Order=(1, 0, 1), Seas=(1, 0, 0, 52)",0.484184104033881,62.83413351576142,30.292560897845917
